Identity number,Village,Mum's status,Village status,My notes,Timestamp,Name,Neighbourhood,Street address,Transport,Language,Phone number,Email,worries,hopes,questions,travel time,amount of children,Date of birth,Older child,source
A059,,,,,2026-06-01 10:00:00,Dilan,Munkkiniemi,Laajalahdentie 42,"bicycle, walk",Kurdish,0441467221,,"Struggling with sleep, wants company",Practise Finnish with other mums,,20,4,2025-09-11,11.2022,Facebook
A060,,,,,2026-06-01 10:00:00,Rojin,Vuosaari,Punakiventie 11,"walk, bicycle, bus","Kurdish, English",041 147 5140,,"New to Finland, doesn't know anyone yet",A group that meets at weekends,,60,1,2025-09-23,,Instagram
A061,,,,,2026-06-01 10:00:00,Elif,Kauniainen,Kauniaistentie 43,"bus, car, walk","Turkish, English",0401483059,,Moved here recently for work,,Can toddlers join too?,about 20 min,1,2025-08-23,,Doula
A062,,,,,2026-06-01 10:00:00,Hodan,Punavuori,Pursimiehenkatu 61,"public transport, walk","Somali, English",044 149 0978,,Long distance to nearest group,,How often do groups meet?,30 minutes,1,2024-03-22,,Family clinic
A063,,,,,2026-06-01 10:00:00,Sarita,Lohja,Laurinkatu 68,"public transport, walk","Nepali, English",+358 40 149 8897,,No family in Finland,Practise Finnish with other mums,Is it free?,Doesn't matter,1,2025-09-03,,Peer group
A064,,,,,2026-06-01 10:00:00,Anastasia,Raasepori,Rautatienkatu 61,"tram, walk","Russian, English",0401506816,,,Friends for the baby too,What if my baby is older than the others?,45,1,2026-08-18,,Friend
A065,,,,,2026-06-01 10:00:00,Rosalie,Itäkeskus,Itäkatu 16,"bus, walk","Tagalog, English",0401514735,,Worried about winter with a newborn,,Can I join if I move in spring?,15,1,2025-10-14,,Doula
A066,,,,,2026-06-01 10:00:00,Hannah,Siuntio,Asemantie 46,"bus, car, walk",English,0411522654,,Long distance to nearest group,,Are meetings in Finnish or English?,10,3,2025-11-01,06.2021,Peer group
A067,,,,,2026-06-01 10:00:00,Minna,Kauniainen,Asematie 8,"bus, train","Finnish, English",0451530573,,Moved here recently for work,A group that meets at weekends,Are meetings in Finnish or English?,25,4,2025-10-19,02.2022,Midwife
A068,,,,,2026-06-01 10:00:00,Léa,Pasila,Asemapäällikönkatu 49,train,"French, English, Finnish",0411538492,,"First baby, very little support nearby",Baby swimming buddies,Is it free?,25,1,2025-03-18,,Instagram
A069,,,,,2026-06-01 10:00:00,Priya,Oulunkylä,Käskynhaltijantie 31,"walk, bus, car","Hindi, English",0401546411,,Shy about meeting new people,Baby swimming buddies,Can toddlers join too?,Doesn't matter,1,2026-02-21,,Doula
A070,,,,,2026-06-01 10:00:00,Sofiia,Espoon keskus,Kirkkojärventie 6,"bicycle, walk","Ukrainian, Finnish",0441554330,,"Partner works shifts, often alone",,,15,1,2025-11-17,,Doula
A071,,,,,2026-06-01 10:00:00,Nour,Loviisa,Kuningattarenkatu 35,"walk, car","Arabic, English",0401562249,,,A group that meets at weekends,,20,1,2025-05-05,,Neuvola
A072,,,,,2026-06-01 10:00:00,Hodan,Kannelmäki,Kanneltie 16,"walk, car","Somali, English",0451570168,,,Coffee walks,Are meetings in Finnish or English?,30 minutes,1,2025-09-21,,Työväenopisto
A073,,,,,2026-06-01 10:00:00,Elina,Hyvinkää,Uudenmaankatu 13,"bus, bicycle","Finnish, English",+358 50 157 8087,,,,,20,2,2026-07-15,01.2023,Peer group
A074,,,,,2026-06-01 10:00:00,Yan,Hakunila,Hakunilantie 64,"car, public transport","Chinese, English, Finnish",+358 40 158 6006,,Language barrier at the playground,A group that meets at weekends,Can I join if I move in spring?,60,3,2026-09-12,03.2025,Neuvola
A075,,,,,2026-06-01 10:00:00,Ines,Vuosaari,Punakiventie 41,"bus, walk","Portuguese, English",0441593925,,,Friends for the baby too,Is it free?,25,1,2026-04-13,,Peer group
A076,,,,,2026-06-01 10:00:00,Aino,Vihti,Nummelantie 5,"bicycle, public transport",Finnish,0441601844,,,,,30 minutes,3,2026-06-12,08.2022,Instagram
A077,,,,,2026-06-01 10:00:00,Heidi,Järvenpää,Sibeliuksenkatu 63,"car, walk","Finnish, English",0501609763,,,Coffee walks,,30,1,2026-06-20,,Instagram
A078,,,,,2026-06-01 10:00:00,Grace,Pasila,Ratapihantie 48,"walk, bicycle, bus",English,045 161 7682,,Worried about winter with a newborn,,Can I join if I move in spring?,35,3,2025-06-07,10.2021,Neuvola
A079,,,,,2026-06-01 10:00:00,Svetlana,Pihlajamäki,Liusketie 57,"walk, bicycle, bus",Russian,0451625601,,"First baby, very little support nearby",Practise Finnish with other mums,,30,1,2026-06-20,,Library
A080,,,,,2026-06-01 10:00:00,Maja,Lauttasaari,Isokaari 57,bicycle,"Swedish, English",0441633520,,,Just someone to talk to,How often do groups meet?,10,1,2026-01-02,,Library
A081,,,,,2026-06-01 10:00:00,Svetlana,Kallio,Sturenkatu 32,"car, walk","Russian, English, Finnish",0501641439,,"Struggling with sleep, wants company",,Is it free?,60,1,2026-09-21,,Word of mouth
A082,,,,,2026-06-01 10:00:00,Olivia,Soukka,Soukanahde 16,"bus, bicycle",English,0501649358,,Moved here recently for work,,,25,1,2025-07-01,,Facebook
A083,,,,,2026-06-01 10:00:00,Iryna,Lauttasaari,Gyldenintie 27,"train, walk","Ukrainian, English, Finnish",0441657277,,"Struggling with sleep, wants company",Weekly meetups,,15,1,2026-09-19,,Library
A084,,,,,2026-06-01 10:00:00,Helmi,Askola,Askolantie 34,car,"Finnish, English",0411665196,,,Coffee walks,How often do groups meet?,15,4,2026-09-24,04.2024,Instagram
A085,,,,,2026-06-01 10:00:00,Piret,Pukinmäki,Eskolantie 3,car,"Estonian, English, Finnish",0441673115,,"Struggling with sleep, wants company",Outdoor walks with prams,Are partners welcome sometimes?,30,1,2026-01-25,,Doula
A086,,,,,2026-06-01 10:00:00,Malee,Pornainen,Mika Waltarin tie 16,walk,"Thai, English",0501681034,,"Partner works shifts, often alone",A group that meets at weekends,,20,3,2025-05-03,08.2020,Peer group
A087,,,,,2026-06-01 10:00:00,Piret,Oulunkylä,Käskynhaltijantie 18,walk,Estonian,0501688953,,,,Are meetings in Finnish or English?,25,4,2024-10-27,02.2020,Työväenopisto
A088,,,,,2026-06-01 10:00:00,Piret,Punavuori,Tehtaankatu 22,"bus, bicycle","Estonian, Finnish",0401696872,,Feeling isolated on parental leave,Coffee walks,Can I join if I move in spring?,60,1,2025-06-21,,Family clinic
A089,,,,,2026-06-01 10:00:00,Ruth,Espoonlahti,Espoonlahdenkatu 13,"bus, walk","English, Finnish",0401704791,,Worried about winter with a newborn,Evening meetups after partner is home,Can I join if I move in spring?,45,1,2024-12-15,,Friend
A090,,,,,2026-06-01 10:00:00,Fatima,Kerava,Aleksis Kiven tie 32,bus,"Arabic, English, Finnish",0411712710,,Moved here recently for work,Just someone to talk to,,about 20 min,1,2025-08-15,,Työväenopisto
A091,,,,,2026-06-01 10:00:00,Isabel,Mäntsälä,Sälinkääntie 8,"car, public transport",Spanish,+358451720629,,Shy about meeting new people,Evening meetups after partner is home,How often do groups meet?,45,1,2026-04-22,,Instagram
A092,,,,,2026-06-01 10:00:00,Mei,Punavuori,Tehtaankatu 2,"car, walk","Chinese, Finnish",0441728548,,"New to Finland, doesn't know anyone yet",Baby swimming buddies,,40,4,2024-08-21,03.2022,Neuvola
A093,,,,,2026-06-01 10:00:00,Huong,Aviapolis,Äyritie 45,walk,"Vietnamese, English",0501736467,,,Someone within walking distance,Are partners welcome sometimes?,30 minutes,1,2026-08-05,,Midwife
A094,,,,,2026-06-01 10:00:00,Tetiana,Vuosaari,Mosaiikkitori 60,"bus, bicycle","Ukrainian, English",0411744386,,Feeling isolated on parental leave,Someone within walking distance,Are meetings in Finnish or English?,35,1,2025-09-05,,Työväenopisto
A095,,,,,2026-06-01 10:00:00,Emilia,Myyrmäki,Myyrmäenraitti 41,"bus, bicycle","Finnish, English",0451752305,,No family in Finland,,What if my baby is older than the others?,15,1,2025-12-17,,Neuvola
A096,,,,,2026-06-01 10:00:00,Deqa,Tikkurila,Asematie 38,public transport,"Somali, English",044 176 0224,,Language barrier at the playground,Someone within walking distance,Can toddlers join too?,60,3,2024-12-28,07.2020,Facebook
A097,,,,,2026-06-01 10:00:00,Natalia,Munkkiniemi,Munkkiniemen puistotie 23,"bus, train","Russian, Finnish",0441768143,,"First baby, very little support nearby",Coffee walks,Can toddlers join too?,25,1,2025-09-07,,Facebook
A098,,,,,2026-06-01 10:00:00,Yulia,Myyrmäki,Iskoskuja 36,"bus, train","Russian, English",050 177 6062,,Shy about meeting new people,Someone in the same situation,Can toddlers join too?,15,1,2025-04-01,,Peer group
A099,,,,,2026-06-01 10:00:00,Triin,Kannelmäki,Kanneltie 62,car,"Estonian, English, Finnish",0401783981,,Moved here recently for work,,What if my baby is older than the others?,40,1,2026-04-20,,Friend
A100,,,,,2026-06-01 10:00:00,Sofiia,Hakunila,Hakunilantie 38,"walk, bus","Ukrainian, Swedish",0441791900,,"Struggling with sleep, wants company",Someone within walking distance,Is it free?,30,4,2026-01-16,07.2024,Peer group
A101,,,,,2026-06-01 10:00:00,Charlotte,Karkkila,Valtatie 9,bicycle,"English, Finnish",041 179 9819,,Long distance to nearest group,,What if my baby is older than the others?,40,1,2026-07-21,,Työväenopisto
A102,,,,,2026-06-01 10:00:00,Linnea,Korso,Urpiaisentie 56,bus,"Swedish, English",0411807738,,No family in Finland,,Can I join if I move in spring?,25,1,2025-08-10,,Family clinic
A103,,,,,2026-06-01 10:00:00,Triin,Tuusula,Tuusulantie 12,public transport,Estonian,0441815657,,No family in Finland,Someone in the same situation,,10,1,2025-03-17,,Midwife
A104,,,,,2026-06-01 10:00:00,Rojin,Raasepori,Rautatienkatu 55,"bus, car, walk","Kurdish, English, Finnish",0451823576,,"New to Finland, doesn't know anyone yet",Just someone to talk to,,25,1,2026-06-06,,Neuvola
A105,,,,,2026-06-01 10:00:00,Kaisa,Kannelmäki,Vanhaistentie 61,public transport,"Finnish, English",0441831495,,Moved here recently for work,Friends for the baby too,Is it free?,20,1,2026-07-03,,Neuvola
A106,,,,,2026-06-01 10:00:00,Anastasia,Järvenpää,Helsingintie 31,"car, public transport","Russian, English",0401839414,,Worried about winter with a newborn,Outdoor walks with prams,,Doesn't matter,2,2026-07-12,01.2023,Facebook
A107,,,,,2026-06-01 10:00:00,Berivan,Hanko,Bulevardi 42,"bus, train","Kurdish, English, Finnish, Swedish",0411847333,,No family in Finland,A group that meets at weekends,Can I join if I move in spring?,15,3,2026-02-13,02.2021,Family clinic
A108,,,,,2026-06-01 10:00:00,Mai,Kirkkonummi,Asemantie 21,"walk, car",Vietnamese,0441855252,,,Just someone to talk to,,15,1,2026-09-05,,Midwife
A109,,,,,2026-06-01 10:00:00,Thao,Korso,Urpiaisentie 18,walk,"Vietnamese, English, Finnish",0441863171,,"Struggling with sleep, wants company",Weekly meetups,Are partners welcome sometimes?,15,1,2024-09-14,,Instagram
A110,,,,,2026-06-01 10:00:00,Wei,Malmi,Latokartanontie 12,"tram, walk","Chinese, English",0411871090,,"New to Finland, doesn't know anyone yet",Just someone to talk to,Is it free?,45,1,2025-01-23,,Friend
A111,,,,,2026-06-01 10:00:00,Iryna,Lauttasaari,Lauttasaarentie 36,"bus, car, walk","Ukrainian, English, Finnish",0441879009,,"First baby, very little support nearby",Weekly meetups,,40,1,2025-10-10,,Facebook
A112,,,,,2026-06-01 10:00:00,Ines,Kamppi,Fredrikinkatu 54,walk,"Portuguese, English, Finnish",0451886928,,"New to Finland, doesn't know anyone yet",Practise Finnish with other mums,,10,1,2025-05-05,,Midwife
A113,,,,,2026-06-01 10:00:00,Lena,Espoon keskus,Kamreerintie 64,walk,"German, English",0451894847,,No family in Finland,Baby swimming buddies,Are partners welcome sometimes?,10,1,2025-02-20,,Peer group
A114,,,,,2026-06-01 10:00:00,Xia,Hyvinkää,Siltakatu 45,"bicycle, walk","Chinese, English, Finnish",044 190 2766,,No family in Finland,Practise Finnish with other mums,Can I join if I move in spring?,20,1,2025-03-12,,Facebook
A115,,,,,2026-06-01 10:00:00,Elina,Karkkila,Huhdintie 48,"car, public transport","Finnish, English",0501910685,,,A group that meets at weekends,Are meetings in Finnish or English?,30 minutes,4,2026-06-21,12.2021,Friend
A116,,,,,2026-06-01 10:00:00,Andreea,Pukinmäki,Eskolantie 38,bus,"Romanian, English",0441918604,,"Struggling with sleep, wants company",Outdoor walks with prams,Is it free?,20,1,2024-04-20,,Midwife
A117,,,,,2026-06-01 10:00:00,Amina,Matinkylä,Matinkatu 9,"bicycle, walk","Somali, English",0411926523,,Shy about meeting new people,Outdoor walks with prams,,15,1,2025-07-01,,Neuvola
A118,,,,,2026-06-01 10:00:00,Linh,Espoon keskus,Kamreerintie 42,"car, walk","Vietnamese, English, Finnish",0441934442,,Language barrier at the playground,Friends for the baby too,,30,1,2025-06-10,,Työväenopisto
A119,,,,,2026-06-01 10:00:00,Amira,Mäntsälä,Keskuskatu 38,"bus, train","Arabic, English, Finnish, Swedish",0441942361,,"Partner works shifts, often alone",,Are meetings in Finnish or English?,30,2,2026-04-24,06.2024,Peer group
A120,,,,,2026-06-01 10:00:00,Katrin,Kerava,Kultasepänkatu 36,"bus, train","Estonian, English",0441950280,,,Weekly meetups,,20,2,2025-04-15,12.2020,Library
A121,,,,,2026-06-01 10:00:00,Merve,Sipoo,Iso Kylätie 39,"bicycle, public transport","Turkish, English",0451958199,,"Struggling with sleep, wants company",Outdoor walks with prams,,45 min,3,2026-09-08,01.2025,Family clinic
A122,,,,,2026-06-01 10:00:00,Yulia,Espoonlahti,Ulappakatu 59,"bus, car, walk","Russian, English, Finnish",0501966118,,,,,15,1,2026-09-19,,Doula
A123,,,,,2026-06-01 10:00:00,Yulia,Otaniemi,Tekniikantie 16,train,"Russian, English",0501974037,,Worried about winter with a newborn,,What if my baby is older than the others?,45 min,4,2026-07-22,10.2024,Työväenopisto
A124,,,,,2026-06-01 10:00:00,Pia,Otaniemi,Tekniikantie 57,"bicycle, public transport","Finnish, English",0411981956,,"New to Finland, doesn't know anyone yet",,,60,3,2025-10-25,05.2022,Library
A125,,,,,2026-06-01 10:00:00,Helmi,Kamppi,Lönnrotinkatu 53,walk,"Finnish, English",050 198 9875,,Long distance to nearest group,Baby swimming buddies,Are meetings in Finnish or English?,15,1,2025-11-08,,Instagram
A126,,,,,2026-06-01 10:00:00,Liis,Tikkurila,Kielotie 15,"walk, bus, car","Estonian, English, Finnish",0451997794,,Moved here recently for work,Weekly meetups,What if my baby is older than the others?,25,1,2026-09-10,,Doula
A127,,,,,2026-06-01 10:00:00,Piret,Tapiola,Merituulentie 8,"bicycle, walk","Estonian, English",0452005713,,Worried about winter with a newborn,,What if my baby is older than the others?,15,3,2025-11-28,01.2023,Word of mouth
A128,,,,,2026-06-01 10:00:00,Rania,Korso,Korsontie 63,"bus, train",Arabic,0502013632,,Feeling isolated on parental leave,,What if my baby is older than the others?,40,1,2025-11-05,,Family clinic
